datetime,events,distance(KM)
20180524111416,0,-1
20180524111417,0,-1
20180524111418,0,-1
20180524111419,0,-1
20180524111420,0,-1
20180524111421,0,-1
20180524111422,0,-1
20180524111423,0,-1
20180524111424,0,-1
20180524111426,0,-1
20180524111427,0,-1
20180524111428,0,-1
20180524111429,0,-1
20180524111430,0,-1
20180524111431,0,-1
20180524111432,0,-1
20180524111433,0,-1
20180524111434,0,-1
20180524111435,0,-1
20180524111436,0,-1
20180524111437,0,-1
20180524111438,0,-1
20180524111439,0,-1
20180524111440,0,-1
20180524111441,0,-1
20180524111442,0,-1
20180524111443,0,-1
20180524111444,0,-1
20180524111445,0,-1
20180524111447,0,-1
20180524111448,0,-1
20180524111449,0,-1
20180524111450,0,-1
20180524111451,0,-1
20180524111452,0,-1
20180524111453,0,-1
20180524111454,0,-1
20180524111455,0,-1
20180524111456,0,-1
20180524111457,0,-1
20180524111458,0,-1
20180524111459,0,-1
20180524111500,0,-1
20180524111501,0,-1
20180524111502,0,-1
20180524111503,0,-1
20180524111504,0,-1
20180524111505,0,-1
20180524111506,0,-1
20180524111507,0,-1
20180524111509,0,-1
20180524111510,0,-1
20180524111511,0,-1
20180524111512,0,-1
20180524111513,0,-1
20180524111514,0,-1
20180524111515,0,-1
20180524111516,0,-1
20180524111517,0,-1
20180524111518,0,-1
20180524111519,0,-1
20180524111520,0,-1
20180524111521,0,-1
20180524111522,0,-1
20180524111523,0,-1
20180524111524,0,-1
20180524111525,0,-1
20180524111526,0,-1
20180524111527,0,-1
20180524111528,0,-1
20180524111530,0,-1
20180524111531,0,-1
20180524111532,0,-1
20180524111533,0,-1
20180524111534,0,-1
20180524111535,0,-1
20180524111536,0,-1
20180524111537,0,-1
20180524111538,0,-1
20180524111539,0,-1
20180524111540,0,-1
20180524111541,0,-1
20180524111542,0,-1
20180524111543,0,-1
20180524111544,0,-1
20180524111545,0,-1
20180524111546,0,-1
20180524111547,0,-1
20180524111548,0,-1
20180524111549,0,-1
20180524111550,0,-1
20180524111552,0,-1
20180524111553,0,-1
20180524111554,0,-1
20180524111555,0,-1
20180524111556,0,-1
20180524111557,0,-1
20180524111558,0,-1
20180524111559,0,-1
20180524111600,0,-1
20180524111601,0,-1
20180524111602,0,-1
20180524111603,0,-1
20180524111604,0,-1
20180524111605,0,-1
20180524111606,0,-1
20180524111607,0,-1
20180524111608,0,-1
20180524111609,0,-1
20180524111610,0,-1
20180524111611,0,-1
20180524111613,0,-1
20180524111614,0,-1
20180524111615,0,-1
20180524111616,0,-1
20180524111617,0,-1
20180524111618,0,-1
20180524111619,0,-1
20180524111620,0,-1
20180524111621,0,-1
20180524111622,0,-1
20180524111623,0,-1
20180524111624,0,-1
20180524111625,0,-1
20180524111626,0,-1
20180524111627,0,-1
20180524111628,0,-1
20180524111629,0,-1
20180524111630,0,-1
20180524111631,0,-1
20180524111632,0,-1
20180524111634,0,-1
20180524111635,0,-1
20180524111636,0,-1
20180524111637,0,-1
20180524111638,0,-1
20180524111639,0,-1
20180524111640,0,-1
20180524111641,0,-1
20180524111642,0,-1
20180524111643,0,-1
20180524111644,0,-1
20180524111645,0,-1
20180524111646,0,-1
20180524111647,0,-1
20180524111648,0,-1
20180524111649,0,-1
20180524111650,0,-1
20180524111651,0,-1
20180524111652,0,-1
20180524111653,0,-1
20180524111655,0,-1
20180524111656,0,-1
20180524111657,0,-1
20180524111658,0,-1
20180524111659,0,-1
20180524111700,0,-1
20180524111701,0,-1
20180524111702,0,-1
20180524111703,0,-1
20180524111704,0,-1
20180524111705,0,-1
20180524111706,0,-1
20180524111707,0,-1
20180524111708,0,-1
